Sample,Classifier,Accuracy
Sample1,LogReg,0.9032258064516129
Sample1,RandForest,1.0
Sample1,DecTree,0.9032258064516129
Sample1,NaiveBayes,0.9032258064516129
Sample1,SVM,0.7096774193548387
Sample2,LogReg,0.9508196721311475
Sample2,RandForest,1.0
Sample2,DecTree,0.9508196721311475
Sample2,NaiveBayes,0.8032786885245902
Sample2,SVM,0.639344262295082
Sample3,LogReg,0.9205607476635514
Sample3,RandForest,1.0
Sample3,DecTree,0.9672897196261683
Sample3,NaiveBayes,0.7897196261682243
Sample3,SVM,0.7009345794392523
Sample4,LogReg,0.9098360655737705
Sample4,RandForest,0.9754098360655737
Sample4,DecTree,0.9672131147540983
Sample4,NaiveBayes,0.7704918032786885
Sample4,SVM,0.5983606557377049
Sample5,LogReg,0.9215686274509803
Sample5,RandForest,1.0
Sample5,DecTree,0.9477124183006536
Sample5,NaiveBayes,0.7973856209150327
Sample5,SVM,0.6666666666666666
